"url","duration","intake","programme_outline","entry_requirements","career_prospect__001","career_prospect__002","career_prospect__003","career_prospect__004","career_prospect__005","career_prospect__006","career_prospect__007","career_prospect__008","career_prospect__009","career_prospect__010","career_prospect__011","career_prospect__012","career_prospect__013","career_prospect__014","career_prospect__015","career_prospect__016","career_prospect__017","career_prospect__018"
"","","","Materials Science and Technology","","","","","","","","","","","","","","","","","","",""
"","","","Computer Programming","","","","","","","","","","","","","","","","","","",""
"","","","Electric Circuits","","","","","","","","","","","","","","","","","","",""
"","","","Introduction to Manufacturing Processes","","","","","","","","","","","","","","","","","","",""
"","","","CNC Technology","","","","","","","","","","","","","","","","","","",""
"","","","Industrial Automation","","","","","","","","","","","","","","","","","","",""
"","","","Computer-Aided Design","","","","","","","","","","","","","","","","","","",""
"","","","Materials Selection and Application","","","","","","","","","","","","","","","","","","",""
"","","","Materials Testing and Evaluation","","","","","","","","","","","","","","","","","","",""
"","","","Modern Ceramics and Composites Technology","","","","","","","","","","","","","","","","","","",""
"","","","Quality Engineering","","","","","","","","","","","","","","","","","","",""
"","","","Advanced Manufacturing Processes and System","","","","","","","","","","","","","","","","","","",""
"","","","Total Productive Maintenance","","","","","","","","","","","","","","","","","","",""
"","","","Semiconductor Fabrication Technology","","","","","","","","","","","","","","","","","","",""
"","","","Renewable and Sustainable Materials","","","","","","","","","","","","","","","","","","",""
"","","","Measurement and Workshop Technology","","","","","","","","","","","","","","","","","","",""
"","","","Advanced Materials and Applications","","","","","","","","","","","","","","","","","","",""
"","","","Advanced Engineering Metals and Alloys","","","","","","","","","","","","","","","","","","",""
"","","","Manufacturing and Operations Management","","","","","","","","","","","","","","","","","","",""
"","","","Project and Dissertation","","","","","","","","","","","","","","","","","","",""
"","","","Manufacturing Process, System Understanding and Management System (WBL)","","","","","","","","","","","","","","","","","","",""
"","","","Printing Processes, Control and Automation (WBL)","","","","","","","","","","","","","","","","","","",""
"","","","Tin Can Processes, Control and Automation (WBL)","","","","","","","","","","","","","","","","","","",""
"","","","Industrial Training","","","","","","","","","","","","","","","","","","",""
"","","","Language, Mata Pelajaran Pengajian Umum (MPU) and Co- Curricular Courses:","","","","","","","","","","","","","","","","","","",""
"","","","English for Tertiary Studies","","","","","","","","","","","","","","","","","","",""
"","","","Academic English/English for Career Preparation","","","","","","","","","","","","","","","","","","",""
"","","","Entrepreneurship/","","","","","","","","","","","","","","","","","","",""
"","","","Bahasa Kebangsaan A,","","","","","","","","","","","","","","","","","","",""
"","","","Penghayatan Etika dan Peradaban","","","","","","","","","","","","","","","","","","",""
"","","",", Integrity and Anti-Corruption,","","","","","","","","","","","","","","","","","","",""
"","","","Falsafah dan Isu Semasa","","","","","","","","","","","","","","","","","","",""
"","","","Co-curricular","","","","","","","","","","","","","","","","","","",""
"https://foas.tarc.edu.my/programmes/diploma/dse-sport-and-exercise-science",":",":","Introduction to Sports Science","","Fitness Trainers","Sport Coaches","Sport Administrators","Sports Facilities Maintenance Personnels","Physical Education Teachers","","","","","","","","","","","","",""
"","","","Foundation of Fitness and Exercise","","","","","","","","","","","","","","","","","","",""
"","","","Functional Human Anatomy","","","","","","","","","","","","","","","","","","",""
"","","","Systemic Human Physiology","","","","","","","","","","","","","","","","","","",""
"","","","Sports Management","","","","","","","","","","","","","","","","","","",""
"","","","Basic Biomechanics","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Coaching","","","","","","","","","","","","","","","","","","",""
"","","","Sport Injuries and First Aid","","","","","","","","","","","","","","","","","","",""
"","","","Motor Learning and Development","","","","","","","","","","","","","","","","","","",""
"","","","Health and Wellness","","","","","","","","","","","","","","","","","","",""
"","","","Sports Nutrition","","","","","","","","","","","","","","","","","","",""
"","","","Games I","","","","","","","","","","","","","","","","","","",""
"","","","Games II","","","","","","","","","","","","","","","","","","",""
"","","","Management and Maintenance of Sport Facilities","","","","","","","","","","","","","","","","","","",""
"","","","Legal and Ethical Issues in Sports","","","","","","","","","","","","","","","","","","",""
"","","","Sports Psychology","","","","","","","","","","","","","","","","","","",""
"","","","Sport Sociology","","","","","","","","","","","","","","","","","","",""
"","","","Introductory Statistics","","","","","","","","","","","","","","","","","","",""
"","","","Introduction to Information Technology","","","","","","","","","","","","","","","","","","",""
"","","","Basic Economic Principles","","","","","","","","","","","","","","","","","","",""
"","","","Fundamentals of Marketing","","","","","","","","","","","","","","","","","","",""
"","","","Language, Mata Pelajaran Pengajian Umum (MPU) and Co-curricular Courses:","","","","","","","","","","","","","","","","","","",""
"","","","English for Tertiary Studies, Academic English, Bahasa Kebangsaan A, Penghayatan Etika dan Peradaban, Integrity and Anti-Corruption, Professional English, Civic Consciousness and Volunteerism, Co-curricular","","","","","","","","","","","","","","","","","","",""
"https://fssh.tarc.edu.my/programmes/bachelor-degree/bachelor-of-arts-honours-english-with-drama","3 years","January","Structure and Grammar of English","","Writers","Editors","Content writer/producers for online and print media","Play directors","Actors/actresses","Stage production crews","Scriptwriters","Playwrights","","","","","","","","","",""
"","","","Introduction to Linguistics","","","","","","","","","","","","","","","","","","",""
"","","","English Phonetics and Phonology","","","","","","","","","","","","","","","","","","",""
"","","","Introduction to English Literature","","","","","","","","","","","","","","","","","","",""
"","","","Malaysian Literature","","","","","","","","","","","","","","","","","","",""
"","","","Structure and Grammar of English II","","","","","","","","","","","","","","","","","","",""
"","","","English Morphology and Syntax","","","","","","","","","","","","","","","","","","",""
"","","","Language Awareness","","","","","","","","","","","","","","","","","","",""
"","","","Introduction to Sociolinguistics","","","","","","","","","","","","","","","","","","",""
"","","","Introduction to Discourse Analysis","","","","","","","","","","","","","","","","","","",""
"","","","Introduction to Psycholinguistics","","","","","","","","","","","","","","","","","","",""
"","","","Corporate Writing","","","","","","","","","","","","","","","","","","",""
"","","","Business Communication","","","","","","","","","","","","","","","","","","",""
"","","","Creative Industries Management","","","","","","","","","","","","","","","","","","",""
"","","","Expository Writing","","","","","","","","","","","","","","","","","","",""
"","","","Research Methodology","","","","","","","","","","","","","","","","","","",""
"","","","History of the English Language","","","","","","","","","","","","","","","","","","",""
"","","","Semantics and Pragmatics","","","","","","","","","","","","","","","","","","",""
"","","","Creative Writing","","","","","","","","","","","","","","","","","","",""
"","","","World Literature","","","","","","","","","","","","","","","","","","",""
"","","","Literature, Adaptation and the Screen","","","","","","","","","","","","","","","","","","",""
"","","","Project I","","","","","","","","","","","","","","","","","","",""
"","","","Project II","","","","","","","","","","","","","","","","","","",""
"","","","Industrial Training","","","","","","","","","","","","","","","","","","",""
"","","","Studies in Drama","","","","","","","","","","","","","","","","","","",""
"","","","Renaissance Drama","","","","","","","","","","","","","","","","","","",""
"","","","Fundamentals of Acting and Characterisation","","","","","","","","","","","","","","","","","","",""
"","","","20th Century American Literature","","","","","","","","","","","","","","","","","","",""
"","","","Stage Management","","","","","","","","","","","","","","","","","","",""
"","","","Playwriting","","","","","","","","","","","","","","","","","","",""
"","","","Theatre Practices","","","","","","","","","","","","","","","","","","",""
"","","","Technology Enhanced Language Learning","","","","","","","","","","","","","","","","","","",""
"","","","Study Skills or Public Speaking and Presentation Skills","","","","","","","","","","","","","","","","","","",""
"","","","Japanese Language l or French Language l or Korean Language l","","","","","","","","","","","","","","","","","","",""
"","","","Japanese Language ll or French Language ll or Korean Language ll","","","","","","","","","","","","","","","","","","",""
"","","","Mata Pelajaran Pengajian Umum (MPU) and Co-curicular Courses: :","","","","","","","","","","","","","","","","","","",""
"","","","Falsafah dan Isu Semasa,","","","","","","","","","","","","","","","","","","",""
"","","","Integrity and Anti-Corruption","","","","","","","","","","","","","","","","","","",""
"","","",", Penghayatan Etika dan Peradaban, Bahasa Kebangsaan A/Entrepreneurship, Co-curricular courses","","","","","","","","","","","","","","","","","","",""
"https://focs.tarc.edu.my/programmes/bachelor-degree/bachelor-of-information-technology-honours-in-information-security-ris","3 years","Duration:","Problem Solving and Programming","","Information Security Analysts","Information Security Consultants","Information Security Managers","Information Security Engineers","Information Security Administrators","Information Security Auditors","Forensics Analysts","Forensics Investigators","Security Software Developers","Mobile Application Developers","Network Security Engineers","","","","","","",""
"","","","Database Management","","","","","","","","","","","","","","","","","","",""
"","","","Computer Organisation and Architecture","","","","","","","","","","","","","","","","","","",""
"","","","IT Fundamentals","","","","","","","","","","","","","","","","","","",""
"","","","Systems Analysis and Design","","","","","","","","","","","","","","","","","","",""
"","","","Discrete Structures","","","","","","","","","","","","","","","","","","",""
"","","","Fundamentals of Computer Networks","","","","","","","","","","","","","","","","","","",""
"","","","Operating Systems","","","","","","","","","","","","","","","","","","",""
"","","","Object-Oriented Programming","","","","","","","","","","","","","","","","","","",""
"","","","Human Computer Interaction","","","","","","","","","","","","","","","","","","",""
"","","","Object-Oriented Analysis and Design","","","","","","","","","","","","","","","","","","",""
"","","","Switching and Routing Technologies","","","","","","","","","","","","","","","","","","",""
"","","","Information Technology Infrastructure","","","","","","","","","","","","","","","","","","",""
"","","","Web and Mobile Systems","","","","","","","","","","","","","","","","","","",""
"","","","Introduction to Internet Security","","","","","","","","","","","","","","","","","","",""
"","","","Advanced Database Management","","","","","","","","","","","","","","","","","","",""
"","","","Integrative Programming","","","","","","","","","","","","","","","","","","",""
"","","","Cloud Computing","","","","","","","","","","","","","","","","","","",""
"","","","Software Project Management","","","","","","","","","","","","","","","","","","",""
"","","","Project I","","","","","","","","","","","","","","","","","","",""
"","","","Project II","","","","","","","","","","","","","","","","","","",""
"","","","Industrial Training (","","","","","","","","","","","","","","","","","","",""
"","","","months)","","","","","","","","","","","","","","","","","","",""
"","","","Web Design and Development","","","","","","","","","","","","","","","","","","",""
"","","","Artificial Intelligence","","","","","","","","","","","","","","","","","","",""
"","","","Information Assurance and Security","","","","","","","","","","","","","","","","","","",""
"","","","Enterprise Networking","","","","","","","","","","","","","","","","","","",""
"","","","Software Security","","","","","","","","","","","","","","","","","","",""
"","","","Digital Forensics","","","","","","","","","","","","","","","","","","",""
"","","","Vulnerability Assessment and Penetration Testing","","","","","","","","","","","","","","","","","","",""
"","","","Language, Mata Pelajaran Pengajian Umum (MPU) and Co-curricular Courses:","","","","","","","","","","","","","","","","","","",""
"","","","English for Tertiary Studies, Falsafah dan Isu Semasa, Academic English, Penghayatan Etika dan Peradaban, English for Career Preparation, Entrepreneurship","","","","","","","","","","","","","","","","","","",""
"","","","Bahasa Kebangsaan A,","","","","","","","","","","","","","","","","","","",""
"","","","Integrity and Anti Corruption","","","","","","","","","","","","","","","","","","",""
"","","",", Co-curricular","","","","","","","","","","","","","","","","","","",""
"https://fcci.tarc.edu.my/programmes/bachelor-degree/graphic-design","3 years","Year 1:","Basic Software Application for Designers","","Graduates can be employed as:","Graphic Designers","Branding and Corporate Identity Designers","Advertising and Promotion Designers","Publication Designers","Packaging Designers","Exhibition Designers","Web Designers","Multimedia Designers","Illustrators","Visualisers","","","","","","",""
"","","","Fundamentals of Design","","","","","","","","","","","","","","","","","","",""
"","","","Colour Theory","","","","","","","","","","","","","","","","","","",""
"","","","Drawing","","","","","","","","","","","","","","","","","","",""
"","","","Introduction to Art","","","","","","","","","","","","","","","","","","",""
"","","","Basic Photography","","","","","","","","","","","","","","","","","","",""
"","","","Layout & Typography","","","","","","","","","","","","","","","","","","",""
"","","","Illustration & Concept OR Fashion Design Illustration","","","","","","","","","","","","","","","","","","",""
"","","","Print Design","","","","","","","","","","","","","","","","","","",""
"","","","Digital Typography OR Batik Appreciation","","","","","","","","","","","","","","","","","","",""
"","","","Design Thinking","","","","","","","","","","","","","","","","","","",""
"","","","Information Graphics","","","","","","","","","","","","","","","","","","",""
"","","","Packaging Design","","","","","","","","","","","","","","","","","","",""
"","","","Painting Techniques OR Applied Photography","","","","","","","","","","","","","","","","","","",""
"","","","Research For Arts & Design","","","","","","","","","","","","","","","","","","",""
"","","","Corporate Identity & Branding","","","","","","","","","","","","","","","","","","",""
"","","","Advertising & Design","","","","","","","","","","","","","","","","","","",""
"","","","Digital Visualization","","","","","","","","","","","","","","","","","","",""
"","","","Sales Promotion Design","","","","","","","","","","","","","","","","","","",""
"","","","Sculpture OR Editorial Design","","","","","","","","","","","","","","","","","","",""
"","","","Industrial Training","","","","","","","","","","","","","","","","","","",""
"","","","Graphic Design Project Management","","","","","","","","","","","","","","","","","","",""
"","","","Web Design & Production","","","","","","","","","","","","","","","","","","",""
"","","","Publication Design","","","","","","","","","","","","","","","","","","",""
"","","","Exhibition Management & Implementation","","","","","","","","","","","","","","","","","","",""
"","","","Interactive Multimedia","","","","","","","","","","","","","","","","","","",""
"","","","Graphic Design Project & Portfolio","","","","","","","","","","","","","","","","","","",""
"","","","Design & Society","","","","","","","","","","","","","","","","","","",""
"","","","Type in Motion OR Fashion Accessories","","","","","","","","","","","","","","","","","","",""
"","","","Professional Practices for Designers","","","","","","","","","","","","","","","","","","",""
"","","","Language, Mata Pelajaran Pengajian Umum (MPU) and Co-curricular Courses:","","","","","","","","","","","","","","","","","","",""
"","","","Bahasa Kebangsaan A, English for Tertiary Studies, Academic English, English for Career Preparation, Tamadun Islam dan Asia, Contemporary Malaysian Issues, Hubungan Etnik, Critical Thinking,","","","","","","","","","","","","","","","","","","",""
"","","","Co-curricular","","","","","","","","","","","","","","","","","","",""
"https://foet.tarc.edu.my/programmes/bachelor-degree/bachelor-of-electronics-engineering-technology-honours","4 years","","Engineering Programming","","Product development & manufacturing","Aerospace","Communications","Instrumentation & control","IT & computing","Consumer & industrial electronics","Microelectronics","","","","","","","","","","",""
"","","","Principles of Electrical and Electronic Engineering/ Electronic Devices/ Circuit Theorem","","","","","","","","","","","","","","","","","","",""
"","","","Engineering Drawing & CADD","","","","","","","","","","","","","","","","","","",""
"","","","Engineering Physics/ Mechanics","","","","","","","","","","","","","","","","","","",""
"","","","Digital Electronics","","","","","","","","","","","","","","","","","","",""
"","","","Project Management and Finance","","","","","","","","","","","","","","","","","","",""
"","","","Microprocessors/ Embedded System","","","","","","","","","","","","","","","","","","",""
"","","","Analogue Electronics","","","","","","","","","","","","","","","","","","",""
"","","","Electronic Instrumentation and Communications","","","","","","","","","","","","","","","","","","",""
"","","","Industrial Control and Automation","","","","","","","","","","","","","","","","","","",""
"","","","Engineering Technologist and Society","","","","","","","","","","","","","","","","","","",""
"","","","Digital Signal Processing","","","","","","","","","","","","","","","","","","",""
"","","","Microelectronics/ VLSI System Design","","","","","","","","","","","","","","","","","","",""
"","","","Control Systems Engineering","","","","","","","","","","","","","","","","","","",""
"","","","Microwave Communication Systems","","","","","","","","","","","","","","","","","","",""
"","","","Power Electronics and Drives","","","","","","","","","","","","","","","","","","",""
"","","","Artificial Intelligence/ Internet of Things","","","","","","","","","","","","","","","","","","",""
"","","","Data Science/ Cloud Computing","","","","","","","","","","","","","","","","","","",""
"","","","Machine Learning/ Industrial Robotic","","","","","","","","","","","","","","","","","","",""
"","","","Language, Mata Pelajaran Pengajian Umum (MPU) and Co-Curricular Courses:","","","","","","","","","","","","","","","","","","",""
"","","","*English for Tertiary Studies, Academic English, English for Career Preparation, Entrepreneurship, Penghayatan Etika Dan Peradaban,","","","","","","","","","","","","","","","","","","",""
"","","","Falsafah dan Isu Semasa, Contemporary Malaysian Studies, Co-curricular","","","","","","","","","","","","","","","","","","",""
"","","","Credit: 140","","","","","","","","","","","","","","","","","","",""
"https://fafb.tarc.edu.my/programmes/bachelors-degree/logistics-and-supply-chain-management","","3 years","IT Fundamentals and Applications","","Graduates of","Bachelor in Logistics and Supply Chain Management (Honours)","can seek gainful employment in any industries with logistics functions such as:","Transportations","Manufacturing","Engineering","Trading","Retailing & etc","","","","","","","","","",""
"","","","Business Communication","","","","","","","","","","","","","","","","","","",""
"","","","Quantitative Methods","","","","","","","","","","","","","","","","","","",""
"","","","Economics","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Accounting","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Management","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Marketing","","","","","","","","","","","","","","","","","","",""
"","","","Organisational Behaviour","","","","","","","","","","","","","","","","","","",""
"","","","Commercial Law","","","","","","","","","","","","","","","","","","",""
"","","","Human Resource Management","","","","","","","","","","","","","","","","","","",""
"","","","Supply Chain Management","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Finance","","","","","","","","","","","","","","","","","","",""
"","","","Occupational Health and Safety","","","","","","","","","","","","","","","","","","",""
"","","","Operation Management","","","","","","","","","","","","","","","","","","",""
"","","","Entrepreneurship","","","","","","","","","","","","","","","","","","",""
"","","","Transportation Management","","","","","","","","","","","","","","","","","","",""
"","","","Warehouse & Distribution Channels","","","","","","","","","","","","","","","","","","",""
"","","","Logistics Strategy","","","","","","","","","","","","","","","","","","",""
"","","","Management Information Systems","","","","","","","","","","","","","","","","","","",""
"","","","International Trade Law","","","","","","","","","","","","","","","","","","",""
"","","","Case Study","","","","","","","","","","","","","","","","","","",""
"","","","IS Design for Logistics","","","","","","","","","","","","","","","","","","",""
"","","","Risk  Management for Logistics","","","","","","","","","","","","","","","","","","",""
"","","","Business Research","","","","","","","","","","","","","","","","","","",""
"","","","Industrial Training","","","","","","","","","","","","","","","","","","",""
"","","","International Business Management","","","","","","","","","","","","","","","","","","",""
"","","","Strategic Planning & Management","","","","","","","","","","","","","","","","","","",""
"","","","Global Sourcing","","","","","","","","","","","","","","","","","","",""
"","","","Electives","","","","","","","","","","","","","","","","","","",""
"","","","Compulsory Courses:","","","","","","","","","","","","","","","","","","",""
"","","","English for Tertiary Studies, Academic English,  English for Career Preparation, Falsafah dan Isu Semasa, Penghayatan Etika dan Peradaban, Integrity & Anti-Corruption, Service Learning/Bahasa Kebangsaan A and Co-curricular.","","","","","","","","","","","","","","","","","","",""
"https://fobe.tarc.edu.my/programmes/bachelors-degree/bachelor-of-interior-architecture-honours","3½ years","July","Interior Design Studios","","Graduates can be employed as:","Interior and Spatial Designer","Furniture and Manufacturer Designer","Visual Merchandising Designer","Fit-out and Retail Designer","Set and Production Designer","Exhibition Designer","Interior Landscaping Designer","Interior Conservation and Lighting Consultant","Colour Specialty Consultant","Computer Modelling and Animation","Facilities Space Programming","Kitchen and Bath Design Consultant","","","","",""
"","","","Interior Design Communication","","","","","","","","","","","","","","","","","","",""
"","","","History of Western Art and Architecture","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Building Construction and Materials","","","","","","","","","","","","","","","","","","",""
"","","","Fundamental of Interior Design","","","","","","","","","","","","","","","","","","",""
"","","","CADD and Working Drawing","","","","","","","","","","","","","","","","","","",""
"","","","Visual Communication","","","","","","","","","","","","","","","","","","",""
"","","","History of Eastern Art and Architecture","","","","","","","","","","","","","","","","","","",""
"","","","Environmental Psychology","","","","","","","","","","","","","","","","","","",""
"","","","Digital Modelling","","","","","","","","","","","","","","","","","","",""
"","","","Lighting and Acoustics","","","","","","","","","","","","","","","","","","",""
"","","","Building Science and Services","","","","","","","","","","","","","","","","","","",""
"","","","Experiencing Architecture","","","","","","","","","","","","","","","","","","",""
"","","","Finishes and Furnishing Materials","","","","","","","","","","","","","","","","","","",""
"","","","Building By-Laws","","","","","","","","","","","","","","","","","","",""
"","","","Furniture Design","","","","","","","","","","","","","","","","","","",""
"","","","Research Methodology","","","","","","","","","","","","","","","","","","",""
"","","","Artificial Intelligence for Design","","","","","","","","","","","","","","","","","","",""
"","","","Industrial Training","","","","","","","","","","","","","","","","","","",""
"","","","Interior Design Dissertation","","","","","","","","","","","","","","","","","","",""
"","","","Interior Design Technology","","","","","","","","","","","","","","","","","","",""
"","","","Interior Design Management and Practice","","","","","","","","","","","","","","","","","","",""
"","","","LANGUAGE, MATA PELAJARAN PENGAJIAN UMUM (MPU) AND CO-CURRICULAR COURSES:","","","","","","","","","","","","","","","","","","",""
"","","","English for Tertiary Studies, Academic English, English for Architectural Presentation, Falsafah dan Isu Semasa/Philosophy and Contemporary Issues, Penghayatan Etika dan Peradaban/Introduction to Leadership/Bahasa Melayu Komunikasi 2, Bahasa Kebangsaan A/Entrepreneurship, Integrity and Anti-Corruption/Service Learning, Co-curricular","","","","","","","","","","","","","","","","","","",""
"https://foas.tarc.edu.my/programmes/diploma/dsc-science",":",":","Physical Chemistry","","Quality controllers","Technical assistants in manufacturing industries or medical establishments","Laboratory supervisors in manufacturing industries or medical establishments","Product Specialists","Research Assistants","Quality Assurance Technologists","Sales Executives","","","","","","","","","","",""
"","","","Inorganic Chemistry","","","","","","","","","","","","","","","","","","",""
"","","","Organic Chemistry","","","","","","","","","","","","","","","","","","",""
"","","","Analytical Chemistry","","","","","","","","","","","","","","","","","","",""
"","","","Chemistry and Society","","","","","","","","","","","","","","","","","","",""
"","","","Chemical Structure and Energetics","","","","","","","","","","","","","","","","","","",""
"","","","Properties of Matter","","","","","","","","","","","","","","","","","","",""
"","","","Chemistry of Elements and Organic Compounds","","","","","","","","","","","","","","","","","","",""
"","","","Cells and Their Organisation","","","","","","","","","","","","","","","","","","",""
"","","","Bioenergetics","","","","","","","","","","","","","","","","","","",""
"","","","Homeostasis and Excretion","","","","","","","","","","","","","","","","","","",""
"","","","Response and Coordination","","","","","","","","","","","","","","","","","","",""
"","","","Reproduction and Development","","","","","","","","","","","","","","","","","","",""
"","","","Biodiversity and Ecology","","","","","","","","","","","","","","","","","","",""
"","","","Structural Biochemistry","","","","","","","","","","","","","","","","","","",""
"","","","Microbiology","","","","","","","","","","","","","","","","","","",""
"","","","Forensic Chemistry and Biology","","","","","","","","","","","","","","","","","","",""
"","","","Pre-Calculus","","","","","","","","","","","","","","","","","","",""
"","","","Introductory Calculus","","","","","","","","","","","","","","","","","","",""
"","","","Calculus","","","","","","","","","","","","","","","","","","",""
"","","","Algebra","","","","","","","","","","","","","","","","","","",""
"","","","Statistics and Operations Research","","","","","","","","","","","","","","","","","","",""
"","","","Information Systems and Application","","","","","","","","","","","","","","","","","","",""
"","","","Business Organisation and Management","","","","","","","","","","","","","","","","","","",""
"","","","Language, Mata Pelajaran Pengajian Umum (MPU) and Co-curricular Courses:","","","","","","","","","","","","","","","","","","",""
"","","","English for Tertiary Studies, Academic English, Bahasa Kebangsaan A, Penghayatan Etika dan Peradaban, Integrity and Anti-Corruption, Professional English, Civic Consciousness and Volunteerism, Co-curricular","","","","","","","","","","","","","","","","","","",""
"https://fcci.tarc.edu.my/programmes/bachelor-degree/communication-studies","3 years","May promoted: Year 2 Semester 1","Introduction to Communication Studies","","Graduates can be employed as:","Communications Executive","MarComm Executive","Media Producer","Media Researcher","Copywriter","Social Media Manager","Creative Content Provider","Corporate Communication Executive","Web Content Writer","","","","","","","",""
"","","","Public Speaking Skills","","","","","","","","","","","","","","","","","","",""
"","","","Basic Photography Skills","","","","","","","","","","","","","","","","","","",""
"","","","The New Media","","","","","","","","","","","","","","","","","","",""
"","","","Social Media and Applications","","","","","","","","","","","","","","","","","","",""
"","","","Introduction to Electronic Publishing","","","","","","","","","","","","","","","","","","",""
"","","","Media Writing","","","","","","","","","","","","","","","","","","",""
"","","","Introduction to Communication Theories","","","","","","","","","","","","","","","","","","",""
"","","","Basic Publication Skills","","","","","","","","","","","","","","","","","","",""
"","","","Basic Video Production","","","","","","","","","","","","","","","","","","",""
"","","","Integrated Marketing Communication","","","","","","","","","","","","","","","","","","",""
"","","","Creative Writing","","","","","","","","","","","","","","","","","","",""
"","","","Digital Imaging (Elective)","","","","","","","","","","","","","","","","","","",""
"","","","or","","","","","","","","","","","","","","","","","","",""
"","","","Web Design (Elective)","","","","","","","","","","","","","","","","","","",""
"","","","Research Methods","","","","","","","","","","","","","","","","","","",""
"","","","Global Media and Communication (Elective)","","","","","","","","","","","","","","","","","","",""
"","","","or","","","","","","","","","","","","","","","","","","",""
"","","","Intercultural Communication (Elective)","","","","","","","","","","","","","","","","","","",""
"","","","Visual Communication","","","","","","","","","","","","","","","","","","",""
"","","","Corporate Communication","","","","","","","","","","","","","","","","","","",""
"","","","Statistics for Communication Research-Statistics","","","","","","","","","","","","","","","","","","",""
"","","","Law and Ethics in Communication","","","","","","","","","","","","","","","","","","",""
"","","","Social Psychology for New Media","","","","","","","","","","","","","","","","","","",""
"","","","Crisis Communication","","","","","","","","","","","","","","","","","","",""
"","","","Social Media Analytics","","","","","","","","","","","","","","","","","","",""
"","","","Communication Project","","","","","","","","","","","","","","","","","","",""
"","","","Research Project I","","","","","","","","","","","","","","","","","","",""
"","","","Entrepreneurship and the Communication Industry","","","","","","","","","","","","","","","","","","",""
"","","","Research Project II","","","","","","","","","","","","","","","","","","",""
"","","","Internship","","","","","","","","","","","","","","","","","","",""
"","","","Language, Mata Pelajaran Pengajian Umum (MPU) and Co-curricular Courses:","","","","","","","","","","","","","","","","","","",""
"","","","English for Tertiary Studies, Academic English, English for Career Preparation, Hubungan Etnik, Critical Thinking,Tamadun Islam dan Asia, Bahasa Kebangsaan A, Contemporary Malaysian Issues,","","","","","","","","","","","","","","","","","","",""
"","","","Co-curricular.","","","","","","","","","","","","","","","","","","",""
"https://focs.tarc.edu.my/programmes/bachelor-degree/bachelor-of-information-systems-honours-in-enterprise-information-s-rei","3 years","Duration:","Problem Solving and Programming","","ERP Consultants","Business and Systems Analysts","Business Process Consultants","Business Intelligence Specialists","Data Warehouse Developers","IT Consultants","IT Managers","Programmers","Web Designers","Database Administrators","","","","","","","",""
"","","","Database Management","","","","","","","","","","","","","","","","","","",""
"","","","Business and Information Systems","","","","","","","","","","","","","","","","","","",""
"","","","Introduction to Computer Security","","","","","","","","","","","","","","","","","","",""
"","","","Systems Analysis and Design","","","","","","","","","","","","","","","","","","",""
"","","","Fundamentals of Computer Networks","","","","","","","","","","","","","","","","","","",""
"","","","Operating Systems","","","","","","","","","","","","","","","","","","",""
"","","","Computer Organisation and Architecture","","","","","","","","","","","","","","","","","","",""
"","","","Object-Oriented Programming","","","","","","","","","","","","","","","","","","",""
"","","","Information Technology Infrastructure","","","","","","","","","","","","","","","","","","",""
"","","","Business Process Management","","","","","","","","","","","","","","","","","","",""
"","","","Social and Professional Issues","","","","","","","","","","","","","","","","","","",""
"","","","Advanced Database Management","","","","","","","","","","","","","","","","","","",""
"","","","Web Programming","","","","","","","","","","","","","","","","","","",""
"","","","Information Systems Implementation","","","","","","","","","","","","","","","","","","",""
"","","","IS Strategy and Management","","","","","","","","","","","","","","","","","","",""
"","","","Database Administration","","","","","","","","","","","","","","","","","","",""
"","","","Software Project Management","","","","","","","","","","","","","","","","","","",""
"","","","Project I","","","","","","","","","","","","","","","","","","",""
"","","","Project II","","","","","","","","","","","","","","","","","","",""
"","","","Industrial Training (","","","","","","","","","","","","","","","","","","",""
"","","","months)","","","","","","","","","","","","","","","","","","",""
"","","","Specialisation:","","","","","","","","","","","","","","","","","","",""
"","","","IT Fundamentals","","","","","","","","","","","","","","","","","","",""
"","","","Web Design and Development","","","","","","","","","","","","","","","","","","",""
"","","","Enterprise Systems","","","","","","","","","","","","","","","","","","",""
"","","","Object-Oriented Analysis and Design","","","","","","","","","","","","","","","","","","",""
"","","","Artificial Intelligence","","","","","","","","","","","","","","","","","","",""
"","","","Enterprise Resource Planning","","","","","","","","","","","","","","","","","","",""
"","","","Data Warehouse Technology","","","","","","","","","","","","","","","","","","",""
"","","","Business Intelligence","","","","","","","","","","","","","","","","","","",""
"","","","Free Electives (Choose 1):","","","","","","","","","","","","","","","","","","",""
"","","","Music Appreciation","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Accounting","","","","","","","","","","","","","","","","","","",""
"","","","Business Organisation and Management","","","","","","","","","","","","","","","","","","",""
"","","","Language, Mata Pelajaran Pengajian Umum (MPU) and Co-curricular Courses:","","","","","","","","","","","","","","","","","","",""
"","","","English for Tertiary Studies, Falsafah dan Isu Semasa, Academic English, Penghayatan Etika dan Peradaban, English for Career Preparation, Entrepreneurship","","","","","","","","","","","","","","","","","","",""
