url,programme_outline
https://fcci.tarc.edu.my/programmes/diploma/diploma-in-multimedia-design,Interactive Web Design
https://fcci.tarc.edu.my/programmes/diploma/diploma-in-multimedia-design,Multimedia Design Project
https://fcci.tarc.edu.my/programmes/diploma/diploma-in-multimedia-design,3D Modeling
https://fcci.tarc.edu.my/programmes/diploma/diploma-in-multimedia-design,Industrial Training
https://fcci.tarc.edu.my/programmes/diploma/diploma-in-multimedia-design,"Language, Mata Pelajaran Pengajian Umum (MPU) and Co-curricular Courses:"
https://fcci.tarc.edu.my/programmes/diploma/diploma-in-multimedia-design,"English for Tertiary Studies, Penghayatan Etika dan Peradaban, Academic English, Integrity and Anti Corruption, Civic Consciousness and Volunteerism OR"
https://fcci.tarc.edu.my/programmes/diploma/diploma-in-multimedia-design,"Bahasa Kebangsaan A, Professional English,"
https://fcci.tarc.edu.my/programmes/diploma/diploma-in-multimedia-design,Co-curricular
https://fcci.tarc.edu.my/programmes/diploma/diploma-in-multimedia-design,Bahasa Kebangsaan A is compulsory for students without Credit in Bahasa Malaysia at SPM level
https://fcci.tarc.edu.my/programmes/diploma/diploma-in-multimedia-design,Co-curricular course must be taken in Year 1 Semester 1
https://fssh.tarc.edu.my/programmes/diploma/diploma-in-early-childhood-special-education,Language and Literacy Development of Children with Special Needs
https://fssh.tarc.edu.my/programmes/diploma/diploma-in-early-childhood-special-education,Managing Behavior of Children with Special Needs
https://fssh.tarc.edu.my/programmes/diploma/diploma-in-early-childhood-special-education,Introduction to Early Years Special Education
https://fssh.tarc.edu.my/programmes/diploma/diploma-in-early-childhood-special-education,Child Development in Special Education
https://fssh.tarc.edu.my/programmes/diploma/diploma-in-early-childhood-special-education,Understanding Autism Spectrum Disorder (ASD) and Attention Deficit Hyperactivity Disorder (ADHD)
https://fssh.tarc.edu.my/programmes/diploma/diploma-in-early-childhood-special-education,Teaching Mathematics to Children with Special Needs
https://fssh.tarc.edu.my/programmes/diploma/diploma-in-early-childhood-special-education,Co-curriculum management OR Entrepreneurship
https://fssh.tarc.edu.my/programmes/diploma/diploma-in-early-childhood-special-education,Teaching Science and Technology to Children with Special Needs
https://fssh.tarc.edu.my/programmes/diploma/diploma-in-early-childhood-special-education,Curriculum Development of Special Education in Malaysia
https://fssh.tarc.edu.my/programmes/diploma/diploma-in-early-childhood-special-education,Observing and Assessing Children with Special Needs
https://fssh.tarc.edu.my/programmes/diploma/diploma-in-early-childhood-special-education,Practicum I
https://fssh.tarc.edu.my/programmes/diploma/diploma-in-early-childhood-special-education,Children with Specific Learning Disabilities
https://fssh.tarc.edu.my/programmes/diploma/diploma-in-early-childhood-special-education,Children with Communication Disorders
https://fssh.tarc.edu.my/programmes/diploma/diploma-in-early-childhood-special-education,"Educating Children with Physical, Visual and Hearing Impairment"
https://fssh.tarc.edu.my/programmes/diploma/diploma-in-early-childhood-special-education,Partnering with Family and Community
https://fssh.tarc.edu.my/programmes/diploma/diploma-in-early-childhood-special-education,Planning Teaching and Learning for Children with Special Needs
https://fssh.tarc.edu.my/programmes/diploma/diploma-in-early-childhood-special-education,Understanding and Managing Gifted and Talented Children
https://fssh.tarc.edu.my/programmes/diploma/diploma-in-early-childhood-special-education,Planning and Delivery Services in Special Education
https://fssh.tarc.edu.my/programmes/diploma/diploma-in-early-childhood-special-education,Creative Arts for Children with Special Needs
https://fssh.tarc.edu.my/programmes/diploma/diploma-in-early-childhood-special-education,"Safety, Health and Nutrition for Early Childhood"
https://fssh.tarc.edu.my/programmes/diploma/diploma-in-early-childhood-special-education,Practicum II
https://fssh.tarc.edu.my/programmes/diploma/diploma-in-early-childhood-special-education,"Language, Mata Pelajaran Pengajian Umum (MPU) and Co-curricular Courses:"
https://fssh.tarc.edu.my/programmes/diploma/diploma-in-early-childhood-special-education,"Penghayatan Etika & Peradaban, Bahasa Kebangsaan A/Public Speaking/Drama, Integrity and Anti-Corruption, Civic Consciousness and Volunteerism, English for Tertiary Studies, Co-curricular courses, Professional English, Academic English"
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,Introduction to Aquaculture
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,Aquaculture System and Practices
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,Introduction to Entrepreneurship
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,Commercial Aquaculture Species and Farming
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,"Site Selection, Design and Setup"
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,Aquaculture Environment and Water Quality
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,Entrepreneurial Practices
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,"System Preparation, Stocking and Management"
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,Small Business Venture
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,"Aquaculture Engineering, Equipment and Tools"
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,Feed and Nutrition
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,Live Food Species and Production
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,Introduction to Seed Production and Nursery
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,Grow-out Technologies and Practices
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,"Harvest, Processing and Post-Harvest"
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,Aquatic Animal Health
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,Good Aquaculture Practices
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,Industrial Training
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,Elective:
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,Introduction to Aquaponics
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,Economics and Farm Management
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,Computer Skills
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,Information Technology and Systems
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,Introduction to Business
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,Introduction to Human Resource Management
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,"Language, Mata Pelajaran Pengajian Umum (MPU) and Co-curricular Courses:"
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,"English for Tertiary Studies, Penghayatan Etika dan Peradaban, Academic English, Bahasa Kebangsaan A, Professional English, Civic Consciousness and Volunteerism, Integrity and Anti-Corruption, Co-curricular"
https://foet.tarc.edu.my/programmes/diploma/diploma-in-manufacturing-technology,Materials Science
https://foet.tarc.edu.my/programmes/diploma/diploma-in-manufacturing-technology,Polymeric Manufacturing Technology
https://foet.tarc.edu.my/programmes/diploma/diploma-in-manufacturing-technology,Casting Technology
https://foet.tarc.edu.my/programmes/diploma/diploma-in-manufacturing-technology,Fundamental of Green Manufacturing
https://foet.tarc.edu.my/programmes/diploma/diploma-in-manufacturing-technology,Metal Manufacturing Technology
https://foet.tarc.edu.my/programmes/diploma/diploma-in-manufacturing-technology,Mechanical Testing
https://foet.tarc.edu.my/programmes/diploma/diploma-in-manufacturing-technology,Heat Treatment
https://foet.tarc.edu.my/programmes/diploma/diploma-in-manufacturing-technology,Composite and Ceramics Technology
https://foet.tarc.edu.my/programmes/diploma/diploma-in-manufacturing-technology,NDT & Materials Characterisation
https://foet.tarc.edu.my/programmes/diploma/diploma-in-manufacturing-technology,"Fundamental Mathematics, Mathematics for Technologist"
https://foet.tarc.edu.my/programmes/diploma/diploma-in-manufacturing-technology,Measurement and Workshop Technology
https://foet.tarc.edu.my/programmes/diploma/diploma-in-manufacturing-technology,Computer-Aided Design and Drafting
https://foet.tarc.edu.my/programmes/diploma/diploma-in-manufacturing-technology,Computer Programming
https://foet.tarc.edu.my/programmes/diploma/diploma-in-manufacturing-technology,Physics for Technologist
https://foet.tarc.edu.my/programmes/diploma/diploma-in-manufacturing-technology,Welding Technology
https://foet.tarc.edu.my/programmes/diploma/diploma-in-manufacturing-technology,Electric Circuits
https://foet.tarc.edu.my/programmes/diploma/diploma-in-manufacturing-technology,Solid Modelling and 3D Printing
https://foet.tarc.edu.my/programmes/diploma/diploma-in-manufacturing-technology,CNC Programming and CAM
https://foet.tarc.edu.my/programmes/diploma/diploma-in-manufacturing-technology,Project Management and Finance
https://foet.tarc.edu.my/programmes/diploma/diploma-in-manufacturing-technology,Industrial Automation
https://foet.tarc.edu.my/programmes/diploma/diploma-in-manufacturing-technology,Quality and Safety
https://foet.tarc.edu.my/programmes/diploma/diploma-in-manufacturing-technology,Final Year Project
https://foet.tarc.edu.my/programmes/diploma/diploma-in-manufacturing-technology,Ethics and Professionalism
https://foet.tarc.edu.my/programmes/diploma/diploma-in-manufacturing-technology,Industrial Training
https://foet.tarc.edu.my/programmes/diploma/diploma-in-manufacturing-technology,"Language, Mata Pelajaran Pengajian Umum (MPU)and Co-Curricular Courses: Integrative English, Progressive English, Pengajian Malaysia 2, Bahasa Kebangsaan A, Public Speaking, Civic Consciousness and Volunteerism, Co-curiccular"
https://foet.tarc.edu.my/programmes/diploma/diploma-in-manufacturing-technology,Minimum Credits: 92
https://fobe.tarc.edu.my/programmes/bachelors-degree/bachelor-of-science-in-architecture-honours,Design Studios
https://fobe.tarc.edu.my/programmes/bachelors-degree/bachelor-of-science-in-architecture-honours,Architectural Graphic Techniques
https://fobe.tarc.edu.my/programmes/bachelors-degree/bachelor-of-science-in-architecture-honours,Working
https://fobe.tarc.edu.my/programmes/bachelors-degree/bachelor-of-science-in-architecture-honours,Drawing
https://fobe.tarc.edu.my/programmes/bachelors-degree/bachelor-of-science-in-architecture-honours,Design
https://fobe.tarc.edu.my/programmes/bachelors-degree/bachelor-of-science-in-architecture-honours,Theories
https://fobe.tarc.edu.my/programmes/bachelors-degree/bachelor-of-science-in-architecture-honours,and Principles
https://fobe.tarc.edu.my/programmes/bachelors-degree/bachelor-of-science-in-architecture-honours,History of Eastern Architecture
https://fobe.tarc.edu.my/programmes/bachelors-degree/bachelor-of-science-in-architecture-honours,History of Western Architecture
https://fobe.tarc.edu.my/programmes/bachelors-degree/bachelor-of-science-in-architecture-honours,omputer Aided Drafting and Presentation
https://fobe.tarc.edu.my/programmes/bachelors-degree/bachelor-of-science-in-architecture-honours,Digital Modelling
https://fobe.tarc.edu.my/programmes/bachelors-degree/bachelor-of-science-in-architecture-honours,Environmental Science
https://fobe.tarc.edu.my/programmes/bachelors-degree/bachelor-of-science-in-architecture-honours,Building Services
https://fobe.tarc.edu.my/programmes/bachelors-degree/bachelor-of-science-in-architecture-honours,Mechanical and Electrical Services
https://fobe.tarc.edu.my/programmes/bachelors-degree/bachelor-of-science-in-architecture-honours,Structural Studies
https://fobe.tarc.edu.my/programmes/bachelors-degree/bachelor-of-science-in-architecture-honours,Principles of Construction & Materials
https://fobe.tarc.edu.my/programmes/bachelors-degree/bachelor-of-science-in-architecture-honours,Construction Technology & Materials
https://fobe.tarc.edu.my/programmes/bachelors-degree/bachelor-of-science-in-architecture-honours,Experiencing Architecture
https://fobe.tarc.edu.my/programmes/bachelors-degree/bachelor-of-science-in-architecture-honours,Advanced Construction Technology
https://fobe.tarc.edu.my/programmes/bachelors-degree/bachelor-of-science-in-architecture-honours,Artificial Intelligence for Design
https://fobe.tarc.edu.my/programmes/bachelors-degree/bachelor-of-science-in-architecture-honours,Building By-Laws
https://fobe.tarc.edu.my/programmes/bachelors-degree/bachelor-of-science-in-architecture-honours,Building Analysis
https://fobe.tarc.edu.my/programmes/bachelors-degree/bachelor-of-science-in-architecture-honours,Principles of Architectural Practice
https://fobe.tarc.edu.my/programmes/bachelors-degree/bachelor-of-science-in-architecture-honours,Design Project Publication
https://fobe.tarc.edu.my/programmes/bachelors-degree/bachelor-of-science-in-architecture-honours,Industrial Training
https://fobe.tarc.edu.my/programmes/bachelors-degree/bachelor-of-science-in-architecture-honours,Building Information Modelling
https://fobe.tarc.edu.my/programmes/bachelors-degree/bachelor-of-science-in-architecture-honours,"LANGUAGE, MATA PELAJARAN PENGAJIAN UMUM (MPU) AND CO-CURRICULAR COURSES:"
https://fobe.tarc.edu.my/programmes/bachelors-degree/bachelor-of-science-in-architecture-honours,"English for Tertiary Studies, Academic English, English for Architectural Presentation, Falsafah dan Isu Semasa/Philosophy and Contemporary Issues, Penghayatan Etika dan Peradaban/Introduction to Leadership/Bahasa Melayu Komunikasi 2,Bahasa Kebangsaan A/Entrepreneurship,Integrity and Anti-Corruption/Service Learning, Co-curricular"
https://focs.tarc.edu.my/programmes/bachelor-degree/bachelor-of-software-engineering-honours-rsw,Problem Solving and Programming
https://focs.tarc.edu.my/programmes/bachelor-degree/bachelor-of-software-engineering-honours-rsw,Database Management
https://focs.tarc.edu.my/programmes/bachelor-degree/bachelor-of-software-engineering-honours-rsw,Software Engineering
https://focs.tarc.edu.my/programmes/bachelor-degree/bachelor-of-software-engineering-honours-rsw,Computer Organisation and Architecture
https://focs.tarc.edu.my/programmes/bachelor-degree/bachelor-of-software-engineering-honours-rsw,Systems Analysis and Design
https://focs.tarc.edu.my/programmes/bachelor-degree/bachelor-of-software-engineering-honours-rsw,Operating Systems
https://focs.tarc.edu.my/programmes/bachelor-degree/bachelor-of-software-engineering-honours-rsw,Object-Oriented Programming
https://focs.tarc.edu.my/programmes/bachelor-degree/bachelor-of-software-engineering-honours-rsw,Data Structures and Algorithms
https://focs.tarc.edu.my/programmes/bachelor-degree/bachelor-of-software-engineering-honours-rsw,Fundamentals of Computer Networks
https://focs.tarc.edu.my/programmes/bachelor-degree/bachelor-of-software-engineering-honours-rsw,Artificial Intelligence
https://focs.tarc.edu.my/programmes/bachelor-degree/bachelor-of-software-engineering-honours-rsw,Software Testing
https://focs.tarc.edu.my/programmes/bachelor-degree/bachelor-of-software-engineering-honours-rsw,Software Quality and Measurement
https://focs.tarc.edu.my/programmes/bachelor-degree/bachelor-of-software-engineering-honours-rsw,Software Requirements Engineering
https://focs.tarc.edu.my/programmes/bachelor-degree/bachelor-of-software-engineering-honours-rsw,Software Design and Architecture
